,0,1,2
0,(0.048856258392333984+0.11752200126647949j),(0.02143937349319458+0.05535517632961273j),(0.021189123392105103+0.046163514256477356j)
1,(0.021439313888549805+0.05535516142845154j),(0.04774761199951172+0.12021684646606445j),(0.021165847778320312+0.0425724983215332j)
2,(0.021189093589782715+0.04616349935531616j),(0.021165847778320312+0.0425724983215332j),(0.04829859733581543+0.11937141418457031j)
3,(0.09065360299838915+0.20838255560915817j),(0.03871620811432637+0.09932132749342218j),(0.045582802159074294+0.0819866046035637j)
4,(0.03871620811432637+0.09932132749342218j),(0.0998966631978546+0.21114599965640127j),(0.035995975361893626+0.07990150584780928j)
5,(0.045582802159074294+0.0819866046035637j),(0.035995975361893626+0.07990150584780928j),(0.10155886587378314+0.22709899152627347j)
6,(0.10572411760433864+0.23354007806559357j),(0.04555999203727869+0.10607933999840957j),(0.04424715682549788+0.09168038612684581j)
7,(0.04555999203727869+0.10607933999840957j),(0.10304143845414657+0.22605527341035675j),(0.04051029333297622+0.07870957537970531j)
8,(0.04424715682549788+0.09168038612684581j),(0.04051029333297622+0.07870957537970531j),(0.10299805994372892+0.23477140748543673j)
