,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
12,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-6.333973128598849+11.516314779270633j),(-0-0j),(-0-0j),(6.333973128598849-11.516314779270633j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
13,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-6.333973128598849+11.516314779270633j),(-0-0j),(-0-0j),(6.333973128598849-11.516314779270633j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
14,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-6.333973128598849+11.516314779270633j),(-0-0j),(-0-0j),(6.333973128598849-11.516314779270633j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
15,0j,0j,0j,0j,0j,0j,(-15.83938743812576+14.020939367290078j),(4.058601914813521-1.9241602076658673j),(4.058601914813521-1.9241602076658686j),0j,0j,0j,0j,0j,0j,(42.23836650166869-37.389171646106874j),(-10.822938439502721+5.131093887108989j),(-10.822938439502725+5.131093887108985j),(-26.39897906354293+23.368232278816798j),(6.764336524689199-3.2069336794431216j),(6.764336524689202-3.206933679443117j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
16,0j,0j,0j,0j,0j,0j,(4.058601914813518-1.9241602076658648j),(-15.94757881340275+13.943347881561198j),(4.078385616184014-1.8947857250232767j),0j,0j,0j,0j,0j,0j,(-10.822938439502712+5.131093887108979j),(42.526876835740666-37.18226101749654j),(-10.875694976490706+5.0527619333953995j),(6.764336524689194-3.206933679443114j),(-26.579298022337916+23.23891313593534j),(6.797309360306691-3.157976208372123j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
17,0j,0j,0j,0j,0j,0j,(4.058601914813517-1.9241602076658664j),(4.078385616184013-1.8947857250232767j),(-15.94757881340275+13.943347881561198j),0j,0j,0j,0j,0j,0j,(-10.822938439502714+5.131093887108976j),(-10.875694976490704+5.052761933395407j),(42.52687683574068-37.18226101749653j),(6.764336524689196-3.2069336794431105j),(6.797309360306691-3.15797620837213j),(-26.579298022337927+23.23891313593533j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
18,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-26.39897906354293+23.368232278816798j),(6.764336524689199-3.2069336794431216j),(6.764336524689202-3.206933679443117j),(26.39897906354293-23.368232278816798j),(-6.764336524689199+3.2069336794431216j),(-6.764336524689202+3.206933679443117j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
19,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(6.764336524689194-3.206933679443114j),(-26.579298022337916+23.23891313593534j),(6.797309360306691-3.157976208372123j),(-6.764336524689194+3.206933679443114j),(26.579298022337916-23.23891313593534j),(-6.797309360306691+3.157976208372123j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
20,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(6.764336524689196-3.2069336794431105j),(6.797309360306691-3.15797620837213j),(-26.579298022337927+23.23891313593533j),(-6.764336524689196+3.2069336794431105j),(-6.797309360306691+3.15797620837213j),(26.579298022337927-23.23891313593533j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
21,(-2958.6497213799553+29705.31848775056j),(-0-0j),(-0-0j),0j,0j,0j,(-3.9634035696384444+11.423771545554143j),(1.6816107315825717-4.223573180907788j),(0.920861519375454-3.15729097734393j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(2962.613124949594-29716.742259296112j),(-1.6816107315825717+4.223573180907788j),(-0.920861519375454+3.15729097734393j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
22,(-0-0j),(-2958.6497213799553+29705.31848775056j),(-0-0j),0j,0j,0j,(1.6816107315825748-4.223573180907791j),(-3.470502612198881+10.825151804946042j),(0.437156037309763-2.4113624995517213j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1.6816107315825748+4.223573180907791j),(2962.120223992154-29716.143639555507j),(-0.437156037309763+2.4113624995517213j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
23,(-0-0j),(-0-0j),(-2958.6497213799553+29705.31848775056j),0j,0j,0j,(0.9208615193754562-3.1572909773439273j),(0.43715603730976327-2.411362499551725j),(-3.0690379305905555+10.212355800552631j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.9208615193754562+3.1572909773439273j),(-0.43715603730976327+2.411362499551725j),(2961.718759310546-29715.53084355111j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
24,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(15.983912356514956-2.7515262410524826j),(-4.082289814502543-1.8099569341458626j),(-4.082289814502544-1.8099569341458612j),0j,0j,0j,0j,0j,0j,0j,0j,0j,(-15.983912356514956+2.7515262410524826j),(4.082289814502543+1.8099569341458626j),(4.082289814502544+1.8099569341458612j),0j,0j,0j
25,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-4.0822898145025395-1.8099569341458617j),(15.983912356514955-2.751526241052482j),(-4.082289814502542-1.8099569341458615j),0j,0j,0j,0j,0j,0j,0j,0j,0j,(4.0822898145025395+1.8099569341458617j),(-15.983912356514955+2.751526241052482j),(4.082289814502542+1.8099569341458615j),0j,0j,0j
26,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-4.082289814502541-1.8099569341458615j),(-4.082289814502545-1.8099569341458623j),(15.98391235651496-2.751526241052483j),0j,0j,0j,0j,0j,0j,0j,0j,0j,(4.082289814502541+1.8099569341458615j),(4.082289814502545+1.8099569341458623j),(-15.98391235651496+2.751526241052483j),0j,0j,0j
27,0j,0j,0j,0j,0j,0j,(-3.963404825244695+11.423775164604958j),(1.6816112643168517-4.2235745189357665j),(0.9208618111043821-3.1572919775737054j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(34649.48919102807-57.63955053453004j),(-11.809169252171195+15.877654560194465j),(-9.526921374544493+12.678807611704684j),0j,0j,0j,(-7.926807139276889+22.847543091108285j),(3.3632214631651434-8.447146361815577j),(1.841723038750908-6.31458195468786j),(-26.39897906354293+23.368232278816798j),(6.764336524689199-3.2069336794431216j),(6.764336524689202-3.206933679443117j),(-34611.200000000004+0j),(-0-0j),(-0-0j)
28,0j,0j,0j,0j,0j,0j,(1.6816112643168533-4.223574518935772j),(-3.4705037116541075+10.825155234354122j),(0.43715617580079685-2.4113632634713604j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-11.809169252171198+15.877654560194468j),(34648.190806958395-55.71437198018155j),(-8.108777610727014+10.392064470946925j),0j,0j,0j,(3.3632214631651496-8.447146361815582j),(-6.941005224397762+21.650303609892084j),(0.874312074619526-4.822724999103443j),(6.764336524689194-3.206933679443114j),(-26.579298022337916+23.23891313593534j),(6.797309360306691-3.157976208372123j),(-0-0j),(-34611.200000000004+0j),(-0-0j)
29,0j,0j,0j,0j,0j,0j,(0.920861811104384-3.1572919775737076j),(0.4371561758007956-2.411363263471362j),(-3.0690389028617706+10.212359035826939j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-9.526921374544493+12.678807611704674j),(-8.108777610727014+10.392064470946941j),(34646.986412786384-53.87598377286753j),0j,0j,0j,(1.8417230387509125-6.3145819546878545j),(0.8743120746195265-4.82272499910345j),(-6.138075861181111+20.424711601105262j),(6.764336524689196-3.2069336794431105j),(6.797309360306691-3.15797620837213j),(-26.579298022337927+23.23891313593533j),(-0-0j),(-0-0j),(-34611.200000000004+0j)
30,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(35.71398995161957-26.88535936727363j),(-8.378534058073221+10.394608750907095j),(-3.730209450118707+8.5091433493456j),0j,0j,0j,0j,0j,0j,(-35.71398995161957+26.88535936727363j),(8.378534058073221-10.394608750907095j),(3.730209450118707-8.5091433493456j)
31,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-8.378534058073187+10.394608750907079j),(39.6202293546813-28.002561240142178j),(-8.378534058073177+10.394608750907075j),0j,0j,0j,0j,0j,0j,(8.378534058073187-10.394608750907079j),(-39.6202293546813+28.002561240142178j),(8.378534058073177-10.394608750907075j)
32,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-3.7302094501187+8.509143349345598j),(-8.378534058073178+10.39460875090707j),(35.713989951619546-26.88535936727362j),0j,0j,0j,0j,0j,0j,(3.7302094501187-8.509143349345598j),(8.378534058073178-10.39460875090707j),(-35.713989951619546+26.88535936727362j)
33,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-7.926807139276889+22.847543091108285j),(3.3632214631651434-8.447146361815577j),(1.841723038750908-6.31458195468786j),0j,0j,0j,(7.926807139276889-22.847543091108285j),(-3.3632214631651434+8.447146361815577j),(-1.841723038750908+6.31458195468786j),0j,0j,0j,0j,0j,0j
34,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(3.3632214631651496-8.447146361815582j),(-6.941005224397762+21.650303609892084j),(0.874312074619526-4.822724999103443j),0j,0j,0j,(-3.3632214631651496+8.447146361815582j),(6.941005224397762-21.650303609892084j),(-0.874312074619526+4.822724999103443j),0j,0j,0j,0j,0j,0j
35,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1.8417230387509125-6.3145819546878545j),(0.8743120746195265-4.82272499910345j),(-6.138075861181111+20.424711601105262j),0j,0j,0j,(-1.8417230387509125+6.3145819546878545j),(-0.8743120746195265+4.82272499910345j),(6.138075861181111-20.424711601105262j),0j,0j,0j,0j,0j,0j
36,0j,0j,0j,(-26.575069099342073+23.235087798746285j),(6.791335500391274-3.170322718270554j),(6.791335500391274-3.1703227182705493j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-15.983912356514956+2.7515262410524826j),(4.082289814502543+1.8099569341458626j),(4.082289814502544+1.8099569341458612j),(-26.39897906354293+23.368232278816798j),(6.764336524689199-3.2069336794431216j),(6.764336524689202-3.206933679443117j),0j,0j,0j,0j,0j,0j,(68.95796051939996-49.354846318615564j),(-17.637961839583017+4.567299463567813j),(-17.63796183958302+4.567299463567805j),0j,0j,0j
37,0j,0j,0j,(6.79133550039127-3.1703227182705533j),(-26.575069099342063+23.23508779874629j),(6.791335500391277-3.170322718270552j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(4.0822898145025395+1.8099569341458617j),(-15.983912356514955+2.751526241052482j),(4.082289814502542+1.8099569341458615j),(6.764336524689194-3.206933679443114j),(-26.579298022337916+23.23891313593534j),(6.797309360306691-3.157976208372123j),0j,0j,0j,0j,0j,0j,(-17.637961839583003+4.567299463567806j),(69.13827947819493-49.225527175734115j),(-17.67093467520051+4.518341992496813j),0j,0j,0j
38,0j,0j,0j,(6.791335500391273-3.17032271827055j),(6.79133550039127-3.1703227182705485j),(-26.575069099342077+23.235087798746285j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(4.082289814502541+1.8099569341458615j),(4.082289814502545+1.8099569341458623j),(-15.98391235651496+2.751526241052483j),(6.764336524689196-3.2069336794431105j),(6.797309360306691-3.15797620837213j),(-26.579298022337927+23.23891313593533j),0j,0j,0j,0j,0j,0j,(-17.63796183958301+4.567299463567799j),(-17.670934675200506+4.518341992496816j),(69.13827947819496-49.2255271757341j),0j,0j,0j
39,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-34611.200000000004+0j),(-0-0j),(-0-0j),(-35.71398995161957+26.88535936727363j),(8.378534058073221-10.394608750907095j),(3.730209450118707-8.5091433493456j),0j,0j,0j,0j,0j,0j,(34646.91398995162-26.88535936727363j),(-8.378534058073221+10.394608750907095j),(-3.730209450118707+8.5091433493456j)
40,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-34611.200000000004+0j),(-0-0j),(8.378534058073187-10.394608750907079j),(-39.6202293546813+28.002561240142178j),(8.378534058073177-10.394608750907075j),0j,0j,0j,0j,0j,0j,(-8.378534058073187+10.394608750907079j),(34650.820229354686-28.002561240142178j),(-8.378534058073177+10.394608750907075j)
41,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-34611.200000000004+0j),(3.7302094501187-8.509143349345598j),(8.378534058073178-10.39460875090707j),(-35.713989951619546+26.88535936727362j),0j,0j,0j,0j,0j,0j,(-3.7302094501187+8.509143349345598j),(-8.378534058073178+10.39460875090707j),(34646.91398995162-26.88535936727362j)
