,0,1,2
0,(0.048856258392333984+0.11752200126647949j),(0.02143937349319458+0.05535517632961273j),(0.021189123392105103+0.046163514256477356j)
1,(0.021439313888549805+0.05535516142845154j),(0.04774761199951172+0.12021684646606445j),(0.021165847778320312+0.0425724983215332j)
2,(0.021189093589782715+0.04616349935531616j),(0.021165847778320312+0.0425724983215332j),(0.04829859733581543+0.11937141418457031j)
3,(0.048856258392333984+0.11752200126647949j),(0.02143937349319458+0.05535517632961273j),(0.021189123392105103+0.046163514256477356j)
4,(0.021439313888549805+0.05535516142845154j),(0.04774761199951172+0.12021684646606445j),(0.021165847778320312+0.0425724983215332j)
5,(0.021189093589782715+0.04616349935531616j),(0.021165847778320312+0.0425724983215332j),(0.04829859733581543+0.11937141418457031j)
6,(0.048856258392333984+0.11752200126647949j),(0.02143937349319458+0.05535517632961273j),(0.021189123392105103+0.046163514256477356j)
7,(0.021439313888549805+0.05535516142845154j),(0.04774761199951172+0.12021684646606445j),(0.021165847778320312+0.0425724983215332j)
8,(0.021189093589782715+0.04616349935531616j),(0.021165847778320312+0.0425724983215332j),(0.04829859733581543+0.11937141418457031j)
