,0,1,2
0,(0.16856983714422458+0.40548878007126077j),(0.06722454184750701+0.17356973462062197j),(0.06781580325543851+0.14774635752809584j)
1,(0.022192865319052672+0.05730079090600701j),(0.029427178564388513+0.07409046147565944j),(0.0013774004977228137+0.0027704716102818446j)
2,(0.041145395268310486+0.08964118355958224j),(0.04209073783590889+0.0846603398379693j),(0.05215404008590878+0.12890025516076595j)
3,(0.12161445670238936+0.26712635397412826j),(0.053180933310060366+0.09310610556753685j),(0.05000749968156034+0.10357735091533984j)
4,(0.053180933310060366+0.09310610556753685j),(0.07122072457321577+0.20645390861384663j),(0.04778908642589374+0.07467976253258798j)
5,(0.05000749968156034+0.10357735091533984j),(0.04778908642589374+0.07467976253258798j),(0.06634788257810548+0.22271056641180095j)
6,(0.1297633152881822+0.2531236894571355j),(0.06708477534627749+0.08716939898445314j),(0.02710793664845095+0.1155519143444473j)
7,(0.06708477534627749+0.08716939898445314j),(0.07417004629507302+0.21003286260611354j),(0.05907690421342687+0.09153458132740938j)
8,(0.02710793664845095+0.1155519143444473j),(0.05907690421342687+0.09153458132740938j),(0.06284379984729249+0.20353193496641897j)
