,0,1,2
0,(0.048856258392333984+0.11752200126647949j),(0.02143937349319458+0.05535517632961273j),(0.021189123392105103+0.046163514256477356j)
1,(0.021439313888549805+0.05535516142845154j),(0.04774761199951172+0.12021684646606445j),(0.021165847778320312+0.0425724983215332j)
2,(0.021189093589782715+0.04616349935531616j),(0.021165847778320312+0.0425724983215332j),(0.04829859733581543+0.11937141418457031j)
3,(0.037906138358337456+0.22893208286553882j),(0.04293276340712571+0.12485285823208772j),(0.06135392915523044+0.05433027719268854j)
4,(0.04293276340712571+0.12485285823208772j),(0.10482505352766483+0.22503491489491517j),(0.04126077949644845+0.057882458253430885j)
5,(0.06135392915523044+0.05433027719268854j),(0.04126077949644845+0.057882458253430885j),(0.07132100060210941+0.24116811494733295j)
6,(0.09009734864105201+0.22584730673882383j),(0.044407374419502654+0.10853976262869235j),(0.04493057580574862+0.08044088855369337j)
7,(0.044407374419502654+0.10853976262869235j),(0.09359299818337272+0.23244745854277138j),(0.04235577379605347+0.07861668712439776j)
8,(0.04493057580574862+0.08044088855369337j),(0.04235577379605347+0.07861668712439776j),(0.09471894247344326+0.22772795637517634j)
