,0,1,2
0,(0.07328438758850098+0.17628300189971924j),(0.03215906023979187+0.0830327644944191j),(0.031783685088157654+0.06924527138471603j)
1,(0.03215897083282471+0.08303274214267731j),(0.07162141799926758+0.18032526969909668j),(0.03174877166748047+0.0638587474822998j)
2,(0.03178364038467407+0.06924524903297424j),(0.03174877166748047+0.0638587474822998j),(0.07244789600372314+0.17905712127685547j)
3,(0.10077151626088679+0.22684793690042918j),(0.040872918545596576+0.10197381341178269j),(0.04651064593685181+0.08420684080918434j)
4,(0.040872918545596576+0.10197381341178269j),(0.09257797401103847+0.2275071649466274j),(0.04152162549381562+0.07338791024436794j)
5,(0.04651064593685181+0.08420684080918434j),(0.04152162549381562+0.07338791024436794j),(0.09705544111190034+0.22903402911890502j)
6,(0.0998068344844651+0.22568806750150416j),(0.04362192010204659+0.10288091945404035j),(0.04462160637270324+0.08697335766118697j)
7,(0.04362192010204659+0.10288091945404035j),(0.096067745781809+0.23472768998669344j),(0.04175154208847328+0.07967361809825796j)
8,(0.04462160637270324+0.08697335766118697j),(0.04175154208847328+0.07967361809825796j),(0.09558759432574608+0.23422038264328482j)
